num,pairs,text
264,"('Antonio', 'gritaba')","- - Pero mira que eres burra, Toña, no es que seas más pequeña que yo, es que eres burra - - gritaba Antonio."
269,"('apartó', '')","Los apartó bruscamente del mueble y los extendió ante sí, concentrando todas sus fuerzas en la absurda tarea de estirar su brazo izquierdo, hasta que sus músculos comenzaron a temblar sin haber llegado a rectificar en nada el incomprensible vicio que cunaba el codo hacia dentro."
270,"('Caminó', '')","Caminó unos pasos con los brazos extendidos y cerró los ojos, como un ciego sagaz en su vigilia de falso sonámbulo."
271,"('tuvo', '')","Cuando levantó los párpados nuevamente, tuvo la certeza de que sus brazos ya no eran paralelos."
273,"('Permaneció', '')","Permaneció así mucho tiempo, dejándose aniquilar plácidamente por el inesperado preludio de su propia decrepitud, negándose ya a encontrar cualquier explicación amable a lo que no era otra cosa que reúma, o artrosis, el simple cansancio de unos huesos que enfilaban la recta de la vejez, el único destino cierto."
274,"('Acababa', '')",Acababa de cumplir cuarenta y un años.
275,"('tostadas', 'quemaron')","Se le quemaron las tostadas y pensó en Auri, que estaría todavía en la cama, feliz ante la perspectiva de echar raíces entre las sábanas mientras le imaginaba en Salamanca, batallando con alguna oscura contrata."
277,"('padre', 'susurrado')","Desde luego, vale mucho más que tú, le había susurrado al oído su padre cuando la conoció, dándole un par de palmadas en la espalda."
278,"('desarrollado', '')","Y había desarrollado una intuición de naturaleza casi sobrenatural con respecto al punto exacto del pan tostado, siempre perfecto."
279,"('echaba', '')",No la echaba de menos.
282,"('descolgó', '')","La descolgó inmediatamente de la pared y la guardó en el fondo de un cajón, de donde extrajo a su vez un viejo rollo de papel, dos pendientes de bisutería barata y cuatro chinchetas."
285,"('mensaje', 'leer')","Debajo se podía leer un turbio mensaje, faltan 923 días para terminar esta obra."
286,"('sentido', '')","En aquel momento se había sentido culpable de la previsible destrucción del prodigio, pero ahora, cuando la amargura de aquel descubrimiento se había diluido poco a poco en el transcurso del tiempo, casi tres años de vida igual, se había acostumbrado ya a que las cosas siguieran ese orden del que se suele decir que es el curso lógico de los acontecimientos."
289,"('delantero', 'declaró')","""Está claro que prefiero al Barcelona en la final, porque a dos partidos es más complicado ganarles"", declaró el delantero paraguayo Miguel Angel Benítez, quien espera que en las semifinales el Espanyol quede emparejado con ""el Atlético de Madrid o el Mérida, si pasa esta noche (para lo que tiene que eliminar al Real Madrid)""."
290,"('indicó', '')","El jugador paraguayo cree que el hecho de que las semifinales no se disputen hasta el mes de abril va a venir muy bien a su equipo, ""porque ahora estamos jugando muchos partidos seguidos y así llegaremos más descansados que nuestros posibles rivales, que por esas fechas estarán jugando competiciones europeas"", indicó."
292,"('capitán', 'aseguró')","""Si pasa el Mérida, el Mérida, y si no el Atlético de Madrid o el Real Madrid, porque si nos toca el Barcelona, pasar va a ser muy difícil"", aseguró el capitán del Espanyol."
294,"('Arteaga', 'advirtió')","""Ellos tienen unas plantillas más amplias y con más calidad que la nuestra"", advirtió Arteaga, mientras que su compañero Mauricio Pochettino, quien también prefiere al Barcelona en la final, coincidió con el centrocampista gaditano en que estos equipos ""tienen plantillas extensísimas para afrontar todas las competiciones""."
297,"('defensa', 'exclamó')","¿Un derbi y además en la final de la Copa del Rey? ¡Sería de puta madre! "", exclamó el defensa canterano."
299,"('gustaría', '')",A Tamudo le gustaría enfrentarse al Mérida si elimina al Real Madrid esta noche y prefiere al Barcelona o al Real Madrid en la final.
300,"('advirtió', '')","""Si nos tocan en"" semis ""tampoco pasa nada, porque a estas alturas cualquiera de ellos son buenos equipos y habrá que salir a por todas"", advirtió."
302,"('aseguró', '')","""Ya sólo quedan cuatro y el pasar se hace mucho más competitivo, así que da igual el que toque"", aseguró."
306,"('tuvo', '')",El árbitro chileno Mario Sánchez tuvo que dar por finalizado el partido anticipadamente al producirse serios incidentes en el estadio.
310,"('invasión', 'producía')","Segundos después, se producía la invasión al campo en protesta por lo que consideraban que era un ""robo"" del partido."
319,"('Clavasquin', 'consiguió')",El gol que acortaba distancias lo consiguió Clavasquin en el minuto 32 de fuerte disparo que dejó al meta peruano sin posibilidades de atajarlo.
328,"('Schumacher', 'dijo')","""Nos interesa mucho que nos visiten los alemanes, porque les gusta quedarse tres o cuatro semanas, mientras que los estadounidenses solamente están tres o cuatro días"", dijo Schumacher, que calculó que en 1999 hubo trescientos veinticinco mil visitantes alemanes en México."
330,"('Valenti', 'dijo')","""No esperábamos un movimiento tan flojo, pero eso hizo que nuestra gente se mueva y vaya a buscar clientes en otros pabellones"", dijo Valenti, que coordina el trabajo de Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua y Panamá, países con los que la Sociedad de Cooperación Técnica Alemana (GTZ) realizará un plan de promoción turística."
332,"('ninguno', 'afectó')","A la República Dominicana, en cambio, no le afectó ninguno de esos factores porque, según su responsable de Turismo, Petra Cruz, Asia no puede competir con sus playas y la cordialidad de la gente, en tanto que los precios son más baratos."
333,"('hubo', '')","Para Brasil, que ocupó 810 metros cuadrados de espacio y cada día llenó de música y alegría sus ambientes, este año hubo ""mayor calidad que cantidad"" que antes y su país ofreció destinos más acordes a la necesidad de paz y tranquilidad de los europeos, según Flavia Araujo, de la Oficina de Turismo del Brasil (Embratur)."
345,"('cedió', '')","También cedió al envite lanzado ayer por los actores de la enseñanza pública con protestas masivas en toda Francia, al anunciar el desbloqueo ""urgente"" de 152,45 millones de euros y un plan plurianual para la gestión de los medios de la Educación nacional."
348,"('canal', 'indicó')","Con la promesa de que el Estado gastará más y quitará menos, el jefe del Gobierno se apunta el mérito muy ""político"" de deshacer parcialmente lo que en su día hicieran los ex primer ministros neogaullistas Alain Juppé (quien en 1995 subió el IVA en un punto, que ahora baja Jospin) y Chirac, indicó el canal televisivo ""LCI""."
352,"('Alain', 'indicó')","Jospin devuelve el 10 por ciento del dinero que ha quitado a los franceses "", indicó Alain Madelin, líder de Democracia Liberal."
355,"('diario', 'afirma')","La acumulación de impaciencia ha hecho un favor al primer ministro al forzarle a entrar en un terreno que no es tradicionalmente el suyo: la rebaja de la presión fiscal "", afirma el diario izquierdista"" Liberation""."
358,"('señaló', '')","En este sentido, señaló que ""pese al empeño de la mujer por conseguir la igualdad de oportunidades en el empleo"", la tasa de desempleo femenina en España (un 22 por ciento) duplica a la masculina."
366,"('dijo', '')","""La contra reloj del último día también será bonita"", dijo."
369,"('mayor', 'finalizó')","""Voy bien, y tengo ganas de que llegue la Vuelta al País Vasco"", finalizó el mayor de los hermanos Osa."
377,"('promotor', 'informó')","La empresa Iber-X, que ha implantado en España una ""bolsa"" de telecomunicaciones a través de Internet, ha logrado tras cinco meses de funcionamiento un volumen de contratación mensual en torno a 78 millones de pesetas, informó hoy a Efe el promotor de este mercado, Jenaro García."
385,"('obtiene', '')","De esta forma y gracias a que las transacciones se realizan en un entorno ciego en el que sólo se hacen públicos los volúmenes ofertados y demandados y el precio límite, pero no las compañías ofertantes o demandantes, se obtiene un precio más bajo que en el mercado tradicional."
387,"('compañías', 'operan')","En la actualidad operan en esta bolsa de las telecomunicaciones 35 compañías del mercado español y seis brasileñas, aunque hay negociaciones establecidas con otras 15 españolas y 25 de Miami, que se cerrarán probablemente antes de mayo."
395,"('van', '')","""Pero, con qué mayoría van a gobernar - agregó el presidente del PNV en alusión a PP y PSE-EE -, si ni siquiera le pueden echar a Ibarretxe, con las ganas que tienen de que se vaya"" ."
397,"('Exhortó', '')","Exhortó a la militancia del PNV a que no se deje ""asustar"" por la ""carga mediática y política"" dirigida contra este partido, porque, según dijo, ""si les hacemos caso y nos vamos de Estella, luego vendrán por otra cosa"", ante lo cual, subrayó, ""cuanto más chillan, nosotros más quietos, y cuando dejen de hablar, veremos qué hacemos""."
399,"('Aseguró', '')","Aseguró que, desde el año 1989, el PNV ha sufrido 235 ataques contra sus batzokis, sin contar con otras formas de violencia contra este partido, por lo que, enfatizó, ""no andamos de amiguetes con EH"", sino que ""estamos pensando en Euskadi y en que esto (la violencia) hay que solucionarlo""."
400,"('Dijo', '')","Dijo que ETA ""se podía haber ahorrado"" el mensaje que envió ayer a las organizaciones juveniles Jarrai y Gasteriak, fusionadas en Haika."
401,"('destacó', '')","""Lo peor que podemos hacer a un menor de edad es darle un fusil o ponerle un cóctel en la mano"", destacó."
404,"('Manifestó', '')","Manifestó que ""la gran aportación del PNV en los últimos veinte años"" es la de haber ""generado un país moderno"", y que este partido se siente ""orgulloso"" de lo conseguido, por lo que ""no acepta lecciones"" ni de quienes ""han tardado 30 años en incorporarse"" a la construcción del País Vasco, ni de la ""nueva derecha, defensora del pensamiento único""."
406,"('muchos', 'respetan')",""" Pero las ideas del lehendakari no las respetan muchos en este país, y las ideas no se pueden condenar""."
418,"('Morel', 'dijo')","""La respuesta de Migración ha sido contundente: justo al día de hoy triplicaron el operativo de quitar la cédula a los ciudadanos de tez oscura"", dijo hoy Morel Cerda."
423,"('éxodo', 'producido')","Desde horas tempranas se ha producido un éxodo de ciudadanos hacia las distintas provincias, en las que les corresponde votar, según pudo observar EFE."
430,"('denuncias', 'abundan')","En la historia de las elecciones dominicanas abundan las denuncias de fraudes, intromisión de los militares en los comicios, compras de documentos de votación, uso de los fondos públicos en favor de los candidatos oficialistas y acciones violentas que arrojaron tristes saldos de muertos y heridos."
481,"('Quince', 'recordarán')","También recordarán los Quince que será necesario hacer una ""investigación efectiva e independiente de las violaciones de los derechos humanos"" cometidas en Chechenia y que Moscú coopere con el Consejo de Europa y la Organización para la Seguridad y la Cooperación en Europa (OSCE) para canalizar la ayuda humanitaria a esa república."
484,"('afirman', '')","También afirman que están dispuestos a ayudar a Rusia en sus esfuerzos por fortalecer las instituciones democráticas, el Estado de derecho y la economía de mercado, aunque recuerdan a Moscú la importancia de garantizar ""la independencia de los medios de comunicación""."
491,"('portavoz', 'aseguró')","""Mi impresión es que va a haber un desencuentro profundo (entre Aznar e Ibarretxe)"", aseguró el portavoz socialista, quien puso de manifiesto que la política vasca ""está colapsada y polarizada por dos posiciones políticas enfrentadas, que justamente corresponden a ambos Gobiernos, al vasco y al central""."
492,"('citó', '')","Entre los avances que el PSOE desearía que se produjeran entre los Ejecutivos central y vasco citó un acuerdo en cooperación policial y entendimientos sobre la articulación de la Ertzaintza y las Fuerzas de Seguridad del Estado, ya que - subrayó - la reciente reunión entre Mayor Oreja y el consejero vasco de Interior, Javier Balza, ""fue simple foto"" y no se produjeron acuerdos posteriores."
495,"('consejera', 'aseguró')","Así lo aseguró la consejera en conferencia de prensa al término de la reunión que durante más de dos horas mantuvo con el ministro, al que expuso las prioridades de la Junta de Andalucía en cuanto a infraestructuras de carreteras y ferroviarias, sobre las que también hubo coincidencia."
497,"('Explicó', '')","Explicó que el proyecto de construcción del tren de alta velocidad entre Córdoba y Málaga cuenta ya con un estudio de impacto ambiental elaborado por la Junta, pero que el Ministerio de Fomento había solicitado una nueva declaración a Medio Ambiente."
506,"('fuentes', 'señalaron')","El mismo día por la tarde, en una reunión conjunta con los ministros de Asuntos Exteriores, se aprobarán los compromisos comunicados por la mañana y se hará pública una declaración, señalaron hoy fuentes comunitarias."
509,"('tendría', '')","Para participar en los planes de defensa común europea el gobierno danés tendría que celebrar un referéndum para consultar a la población, similar al que hizo el pasado septiembre sobre la incorporación del euro."
512,"('comprometerán', '')","Además, se comprometerán a realizar los esfuerzos necesarios para dotarse en los próximos años de medios de transporte estratégico, armas guiadas, de medios de abastecimiento de combustible en vuelo, de supresión de defensas aéreas, medios de defensa contra misiles tierra-tierra, y medios humanos, aéreos y satélites de espionaje."
519,"('Tenemos', '')","""Tenemos dificultades - prosiguió Pascual - para conseguir estos permisos de operación en diferentes aeropuertos"" y añadió que, aunque el ministro de Fomento, Francisco Alvarez Cascos, ha señalado que la suma de las dos compañías no supone la adición aritmética de los permisos que poseen ambas, ""estaremos atentos, dado que podría atentar a la libre competencia""."
525,"('frecuencias', 'van')","Así mismo, se van a aumentar las frecuencias con Washington, Buenos Aires, La Habana, París, y Lisboa, y en el caso de la capital francesa, ""vamos a lanzar durante los seis primeros meses de 2001 una campaña agresiva de precios de tal forma que se pueda hacer una ida y vuelta por tan solo 9.800 pesetas""."
527,"('Pascual', 'apreció')","Sobre la noticia existente en el mercado de la posible venta de Marsans a una compañía multinacional del sector de primera magnitud ""no existe por el momento, aunque como yo siempre digo, si se ofrece un buen precio, habrá que pensarlo"", apreció Pascual."
529,"('dos', 'bautizado')","Hasta ahora ya se han bautizado dos con los nombres de Camilo José Cela y Placido Domingo, y próximamente será bautizado un tercero como Eduardo Chillida."
541,"('conseguido', '')",Desde entonces sólo ha conseguido tres empates en el feudo del Deportivo y ha cosechado cinco derrotas.
542,"('perdió', '')","Además de la de hoy, dos veces perdió por 4-0, una por 3-0 y otra por 3-2."
557,"('ALEJA', '')",LA REAL SOCIEDAD NO SE ALEJA DEL PRECIPICIO
567,"('SEQUÍA', 'CONTINUA')",CONTINUA LA SEQUÍA DE GOLES DEL MÁLAGA EN LA ROSALEDA
571,"('Adli', 'afirma')","""El estado de emergencia se amplió como medida para asegurar lo conseguido en los últimos años, incluido el mantenimiento de la estabilidad y la limitación de los efectos de la violencia y el crimen organizado"", afirma Al Adli, en una entrevista publicada hoy, viernes, por el diario egipcio de propiedad estatal ""Al Ahram""."
573,"('dijo', '')","""Nadie puede proclamar que el terrorismo se ha acabado en Egipto"", dijo en referencia a los grupos integristas islámicos que, desde hace ocho años, mantienen la lucha armada como método para derrocar al régimen actual e imponer otro de estricta obediencia coránica."
578,"('anunció', '')","El ministerio para la Igualdad de Oportunidades va a llevar a cabo una campaña para facilitar que las prostitutas dejen esa actividad, se anunció hoy, viernes."
580,"('intentará', '')","A través de redes de asistencia se intentará dar oportunidades a estas mujeres para que puedan desarrollar otras tareas y que dejen de ser explotadas sexualmente, fenómeno que es creciente en el caso de muchas extranjeras que llegan a Italia procedentes de países del este de Europa."
581,"('hay', '')","Solamente en Roma hay 3.500 extranjeras que se dedican a la prostitución, seguida de Milán con 2.500 mujeres, según datos del Observatorio del Servicio de Medicina Preventiva del Hospital San Gallicano, de la capital italiana."
583,"('número', 'pondrá')","Para facilitar la campaña del Ministerio se pondrá en marcha un número de información, al que podrán llamar las propias prostitutas o quienes deseen ayudarlas y que estará activo las 24 horas del día, según se puso de manifiesto hoy durante un seminario sobre ""prostitución y criminalidad"" que se celebra en Roma."
584,"('presidenta', 'participó')","En el seminario participó la presidenta de la Comisión sobre la Prostitución del Ministerio, Vittoria Tola, quien explicó que las personas que atenderán el teléfono tendrán una preparación específica para atender a esas mujeres y además hablarán varios idiomas, con objeto de poder dialogar con las extranjeras."
587,"('Flores', 'dijo')","""Todos los resultados nos han beneficiado, pero estoy especialmente contento porque la imagen del equipo ha sido muy buena"", dijo Flores, quien no comparte la opinión con Víctor Fernández sobre que la expulsión de Coira resultara determinante en la suerte del partido."
590,"('Fernández', 'dijo')","""Tras esa primera expulsión, hubo otro partido, porque nos rompió por completo"", dijo Fernández, quien no se quejó por la actitud de sus jugadores, en general, aunque sí puntualmente por las expulsiones - también fue expulsado Juanfran, a cinco minutos del final - en sendas acciones ""totalmente evitables"", en opinión del técnico del Celta."
600,"('aseguró', '')","En este sentido, aseguró que desde hoy propondrá ""a las direcciones de los partidos políticos de la izquierda plural debatir sobre el futuro de los parisienses con los militantes Verdes, comunistas, Movimiento de los Ciudadanos y Radicales de Izquierda""."
603,"('políticos', 'cuentan')","Mientras los socialistas aunaron anoche sus esfuerzos en un sólo candidato, en la acera de los neogaullistas del Reagrupamiento por la República (RPR) se cuentan ya tres políticos en liza."
606,"('Séguin', 'indicó')","""Creo que en la vida política uno se degrada atacando a los otros porque eso significa que uno no tiene otra cosa que decir"", indicó Séguin."
